S.No,Name of Drugs/medical device/cosmetic,Batch No./Date of Manufacture/Date of Expiry/Manufactured By,Reason for failure,Drawn By / From
29.0,"Diphenhydramine HCI, Ammonium- Chloride and Sodium Citrate Cough Expectorant","B. No.: LDS2005AL, Mfg dt: 12/2022, Exp dt: 05/2024, Mfd by: M/s. HINDUSTAN LABORATORIES, LIMITED, Plot No. 5-9, Survey No. 38/2, Aliyali, Palghar (W), Dist - Palghar 401404, Maharashtra.",Assay of Menthol,"CDSCO Sub-Zone, RDTL Chandigarh"
30.0,Pre and Probiotic Capsules,"B. No.: HPH 207, Mfg dt: 04/2022, Exp dt: 02/2024, Mfd by: M/s. Med Manor Organics Pvt. Ltd., Unit- II, K.No. 143M/7, Village-Raipur, Pargana- Bhagwanpur, Tehsil- Roorkee, Distt. Haridwar, Uttarakhand- 247 661.",Identification and Assay of Streptococcus faecalis,"CDSCO North Zone, RDTL Chandigarh"
31.0,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Nicotinamide Injection Eldervit12 Injection","B. No.: EP-0916, Mfg dt: 10/2022, Exp dt: 09/2024, Mfd by: M/s. E.G Pharmaceuticals, Vill. Mandhala, Teh. Kasauli Distt. Solan, Himachal Pradesh.",Particulate matter,"CDSCO North Zone, RDTL Chandigarh"
32.0,Amlodipine 5 mg and Telmisartan 40 mg Tablets IP (Telma-AM ),"B. No.: 18220076, Mfg dt: 01/2022, Exp dt: 12/2024, Mfd by: M/s. Glenmark Pharmaceuticals Ltd., Samlik Marchak, Industrial Growth Centre, East Sikkim, Sikkim-737135.",Dissolution of Telmisartan,"Drug Control Department Delhi, RDTL Chandigarh"
33.0,Metronidazole Tablets IP 400 mg,"B. No.: 3000421, Mfg dt: 03/2021, Exp dt: 02/2024, Mfd by: M/s. Karnataka Antibiotics & Pharmaceuticals Ltd., Plot No.14, II Phase, Peenya, Bengaluru-560058.",Dissolution.,"CDSCO Subzone Bangalore, CDTL Chennai"
34.0,BACLOX-400 (Norfloxacin Tablets IP),"B. No.: AUT-22002, Mfg dt: 08/2022, Exp dt: 07/2025, Mfd by: M/s. Supermax Laboratories, Plot No.40, Pharmacity Selaqui Industrial Area, Dehradun- 248011.",Dissolution,"CDSCO West- Zone Mumbai., CDTL Mumbai"
35.0,"ODIMONT-AL (Montelukast, Levocetirizine HCI & Ambroxol HCI (SR) Tablets)","B. No.: GZOA22002, Mfg dt: 11/2022, Exp dt: 10/2024, Mfd by: M/s. GKM New Pharma Spl. Type Plot No. 5, 6, 7 & 8, Pipdic Electronic Park, Thirubuvanai Puducherry- 605 107.",Assay and Dissolution of Montelukast,"CDSCO West-Zone, CDTL Mumbai"
36.0,Voglibose Tablets IP 0.2mg,"B.No.: 1121-27, Mfg dt: 10/2022, Exp dt: 09/2024, Mfd by: M/s HAB Pharmaceuticals & Research Ltd., 10, Pharmacity, SIDCUL, Selaqui, Dehradun- 248011",Test for Assay,"Sub-zone Indore, CDTL Mumbai"
37.0,Lactuedge (Lactulose Solution USP),"B. No.: GA22005, Mfg dt: 02/2022, Exp dt: 01/2024, Mfd by: M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee-247 667.",Assay and Organic Impurities,"CDSCO West-Zone, CDTL Mumbai"
38.0,Albendazole Tablets IP,"B. No.: MS4A12202, Mfg dt: 09/2022, Exp dt: 08/2025, Mfd by: M/s. MAXTAR BIO-GENICS, Khasra No. 705, Vill. Malku Majra, Nalagarh Road, Baddi, Distt. Solan 173205, Himachal Pradesh, India.",Dissolution,"Drug Control Department Meghalaya, RDTL Guwahati"
